Encode Order, Type, POC, QP, Bits, Scenecut, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 32x32, Inter 32x32 (Rect), Inter 32x32 (Amp), Inter 16x16, Inter 16x16 (Rect), Inter 16x16 (Amp), Inter 8x8, Inter 8x8 (Rect), Inter 8x8 (Amp), Skip 32x32, Skip 16x16, Skip 8x8, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Luma Level, Max Luma Level, Avg Residual Energy, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms), Stall Time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 19.00,    1139624, 0,43.283, 43.416, 43.989, 43.388,71,  -, -, 0.00%,  0.02%,  0.00%, 0.13%,  0.18%,  1.19%, 4.48%,  4.41%, 26.82%,62.79%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 3125.00, 1399.27, 0.00, 0.00, 0, 297729.22, 303.3, 0.0, 1998.4, 1835.5, 0.0, 0.0, 1.000, 0
1, P-SLICE,    2, 22.00,        160, 0,43.283, 43.416, 43.989, 43.388,70, 0 , -, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 100.00%,  0.00%,  0.00%, 3126.99, 1422.50, 0.00, 0.00, 0, 3126.99, 3325.2, 0.0, 1834.6, 1704.9, 0.0, 0.0, 1.000, 0
2, b-SLICE,    1, 24.00,        240, 0,43.283, 43.416, 43.989, 43.388,72, 0 ,2 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 100.00%,  0.00%,  0.00%, 3126.99, 1422.50, 0.00, 0.00, 0, 3126.99, 0.3, 0.0, 2287.5, 2123.7, 0.0, 0.0, 1.000, 0
3, P-SLICE,    6, 22.00,     469880, 0,39.771, 41.395, 42.139, 40.270,68, 2 0 , -, 0.00%,  0.00%,  0.03%, 0.11%,  0.19%,  0.49%, 1.63%,  1.33%, 10.72%,22.61%,  1.11%,  0.08%,  0.19%,  7.33%,  1.36%,  1.22%, 33.19%, 10.61%,  0.00%,  0.00%,  0.24%,  1.52%,  0.11%,  0.81%,  5.13%, 7028.95, 2239.98, 0.00, 0.00, 0, 102700.91, 123.0, 0.0, 8738.7, 8107.0, 0.0, 0.0, 1.000, 0
4, B-SLICE,    4, 23.00,     244664, 0,39.023, 41.191, 42.061, 39.674,71, 2 0 ,6 , 0.00%,  0.00%,  0.00%, 0.15%,  0.00%,  0.15%, 0.94%,  0.53%,  7.51%,10.26%,  2.45%,  0.23%,  0.08%,  9.17%,  1.55%,  2.49%, 35.02%,  9.09%,  0.00%,  0.00%,  0.98%,  3.09%,  1.25%,  5.43%,  9.62%, 8353.54, 2312.68, 0.00, 0.00, 0, 57154.76, 0.0, 0.0, 8758.4, 8145.9, 0.0, 0.0, 1.000, 0
5, b-SLICE,    3, 24.00,     138616, 0,38.713, 41.430, 42.312, 39.502,73, 2 0 ,4 6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.05%, 0.44%,  0.29%,  3.14%, 3.05%,  1.03%,  0.20%,  0.15%,  6.29%,  3.73%,  3.24%, 34.89%,  9.73%,  0.00%,  0.00%,  1.77%,  3.49%,  5.80%, 11.11%, 11.60%, 8970.68, 2177.82, 0.00, 0.00, 0, 34119.84, 0.3, 0.0, 7601.6, 7094.6, 0.0, 0.0, 1.000, 0
6, b-SLICE,    5, 24.00,     139920, 0,38.377, 41.021, 41.801, 39.136,72, 4 2 0 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.14%, 0.09%,  0.19%,  1.56%, 2.60%,  0.85%,  0.14%,  0.28%,  6.20%,  3.08%,  2.98%, 36.02%, 10.93%,  0.00%,  0.00%,  1.56%,  4.31%,  5.35%, 11.45%, 12.26%, 9689.49, 2417.36, 0.00, 0.00, 0, 36558.01, 0.3, 0.0, 8287.5, 7751.6, 0.0, 0.0, 1.000, 0
7, P-SLICE,   10, 22.00,     453752, 0,39.742, 41.330, 41.892, 40.209,68, 6 4 2 0 , -, 0.00%,  0.00%,  0.00%, 0.19%,  0.07%,  0.34%, 1.23%,  0.75%, 10.63%,17.89%,  0.26%,  0.14%,  0.17%,  6.25%,  1.59%,  1.61%, 37.39%, 15.63%,  0.00%,  0.00%,  0.17%,  1.68%,  0.00%,  0.24%,  3.77%, 7081.19, 2316.42, 0.00, 0.00, 0, 92961.75, 247.5, 0.0, 14876.5, 13891.8, 0.0, 0.0, 1.000, 0
8, B-SLICE,    8, 23.00,     240880, 0,38.859, 40.981, 41.631, 39.471,71, 6 4 2 0 ,10 , 0.00%,  0.00%,  0.00%, 0.22%,  0.00%,  0.22%, 1.05%,  0.60%,  5.61%,10.13%,  2.73%,  0.19%,  0.15%,  7.74%,  1.65%,  2.58%, 36.24%, 10.10%,  0.00%,  0.00%,  1.01%,  2.88%,  1.20%,  4.53%, 11.18%, 8675.84, 2482.11, 0.00, 0.00, 0, 55179.18, 0.0, 0.0, 13089.5, 12236.7, 0.0, 0.0, 1.000, 0
9, b-SLICE,    7, 24.00,     136344, 0,38.385, 40.